Nº,NOMBRE,ALT,PES,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,110.2,102.5,7.7,92.6,13.2,
,,,,,,,,,,,,,,,,,104.0,104.6,-0.5,122.5,14.2,
,,,,,,,,,,,,,,,,,106.8,116.6,-9.8,100.5,16.2,
,,,,,,,,,,,,,,,,,111.3,103.4,7.9,114.1,16.0,
,,,,,,,,,,,,,,,,,110.8,97.5,13.3,264.0,24.2,
,,,,,,,,,,,,,,,,,94.2,107.3,-13.1,36.2,6.1,
,,,,,,,,,,,,,,,,,115.6,113.1,2.5,86.1,11.5,
,,,,,,,,,,,,,,,,,108.5,108.8,-0.3,106.1,16.7,
,,,,,,,,,,,,,,,,,116.1,105.3,10.8,84.5,19.0,
,,,,,,,,,,,,,,,,,103.1,101.7,1.4,114.2,14.5,
,,,,,,,,,,,,,,,,,112.6,111.2,1.4,92.5,15.6,
,,,,,,,,,,,,,,,,,101.3,101.9,-0.6,86.0,14.1,
,,,,,,,,,,,,,,,,,120.8,105.5,15.3,109.1,16.3,
,,,,,,,,,,,,,,,,,108.1,113.4,-5.3,172.2,20.2,
,,,,,,,,,,,,,,,,,102.1,101.1,1.0,100.4,14.0,
,,,,,,,,,,,,,,,,,116.8,104.8,12.0,122.2,18.6,
,,,,,,,,,,,,,,,,,98.1,106.1,-8.0,40.2,8.1,
,,,,,,,,,,,,,,,,,123.9,95.6,28.3,240.5,26.2,
,,,,,,,,,,,,,,,,,92.6,117.8,-25.2,41.0,7.6,
,,,,,,,,,,,,,,,,,111.7,101.7,9.9,137.5,17.5,
